,APXPrice,APXVolume,N2EXPrice,N2EXVolume,settlementDate,settlementPeriod
2016011014,23.36,911.800,0.00,0.000,2016-01-10,14
2016011015,24.11,803.200,0.00,0.000,2016-01-10,15
2016011016,25.27,961.350,0.00,0.000,2016-01-10,16
2016011017,29.30,633.000,0.00,0.000,2016-01-10,17
2016011018,29.67,913.950,0.00,0.000,2016-01-10,18
2016011019,30.54,778.500,0.00,0.000,2016-01-10,19
2016011020,32.06,1065.250,0.00,0.000,2016-01-10,20
2016011021,32.17,798.200,0.00,0.000,2016-01-10,21
2016011022,32.00,667.600,0.00,0.000,2016-01-10,22
2016011023,32.90,696.650,0.00,0.000,2016-01-10,23
2016011024,32.50,608.850,0.00,0.000,2016-01-10,24
