,settlementPeriod,settlementDate,APXPrice,APXVolume
2016011104,4,1/11/2016,31.93,5364.7
2016011105,5,1/11/2016,30.51,6000.6
2016011106,6,1/11/2016,30.51,6000.6
2016011107,7,1/11/2016,29.96,5901.5
2016011108,8,1/11/2016,29.96,5901.5
2016011109,9,1/11/2016,29.4,5897.4
2016011110,10,1/11/2016,29.4,5897.4
2016011111,11,1/11/2016,30.83,5526.7
2016011112,12,1/11/2016,30.83,5526.7
2016011113,13,1/11/2016,38.43,5759.6
2016011114,14,1/11/2016,38.43,5759.6
2016011115,15,1/11/2016,34.98,5987.3
2016011116,16,1/11/2016,34.98,5987.3
2016011117,17,1/11/2016,34.97,6129
2016011118,18,1/11/2016,34.97,6129
2016011119,19,1/11/2016,34.02,5885.4
2016011120,20,1/11/2016,34.02,5885.4
2016011121,21,1/11/2016,35.59,5890.1
2016011122,22,1/11/2016,35.59,5890.1
2016011123,23,1/11/2016,40.66,5784.5
2016011124,24,1/11/2016,40.66,5784.5
2016011125,25,1/11/2016,44.34,5788
2016011126,26,1/11/2016,44.34,5788
2016011127,27,1/11/2016,47.8,5702.8
2016011128,28,1/11/2016,47.8,5702.8
2016011129,29,1/11/2016,40.38,5876.4
2016011130,30,1/11/2016,40.38,5876.4
2016011131,31,1/11/2016,33.07,5413.3
2016011132,32,1/11/2016,33.07,5413.3
2016011133,33,1/11/2016,40.1,4918.3
2016011134,34,1/11/2016,40.1,4918.3
2016011135,35,1/11/2016,80,5263.8
2016011136,36,1/11/2016,80,5263.8
2016011137,37,1/11/2016,53.96,5508.4
2016011138,38,1/11/2016,53.96,5508.4
2016011139,39,1/11/2016,47.91,5731.7
2016011140,40,1/11/2016,47.91,5731.7
2016011141,41,1/11/2016,38.95,5277
2016011142,42,1/11/2016,38.95,5277
2016011143,43,1/11/2016,36.15,5795.4
2016011144,44,1/11/2016,36.15,5795.4
2016011145,45,1/11/2016,30.83,6311
2016011146,46,1/11/2016,30.83,6311
2016011247,47,1/12/2016,37.83,6190.1
2016011248,48,1/12/2016,37.83,6190.1
2016011201,1,1/12/2016,32.36,5935.8
2016011202,2,1/12/2016,32.36,5935.8
2016011203,3,1/12/2016,44.35,5851.9
2016011204,4,1/12/2016,44.35,5851.9
2016011205,5,1/12/2016,30.94,5917.4
2016011206,6,1/12/2016,30.94,5917.4
2016011207,7,1/12/2016,29.91,5813.6
2016011208,8,1/12/2016,29.91,5813.6
2016011209,9,1/12/2016,18.82,5709.1
2016011210,10,1/12/2016,18.82,5709.1
2016011211,11,1/12/2016,24.82,5709.9
2016011212,12,1/12/2016,24.82,5709.9
2016011213,13,1/12/2016,37.54,5780.6
2016011214,14,1/12/2016,37.54,5780.6
2016011215,15,1/12/2016,38.03,6544.5
2016011216,16,1/12/2016,38.03,6544.5
2016011217,17,1/12/2016,37.98,6476.1
2016011218,18,1/12/2016,37.98,6476.1
2016011219,19,1/12/2016,36.42,6425.7
2016011220,20,1/12/2016,36.42,6425.7
2016011221,21,1/12/2016,36.98,6228.4
2016011222,22,1/12/2016,36.98,6228.4
2016011223,23,1/12/2016,34.09,6319.7
2016011224,24,1/12/2016,34.09,6319.7
2016011225,25,1/12/2016,34.07,6384.1
2016011226,26,1/12/2016,34.07,6384.1
2016011227,27,1/12/2016,34.01,6418.6
2016011228,28,1/12/2016,34.01,6418.6
2016011229,29,1/12/2016,33.51,6599.3
2016011230,30,1/12/2016,33.51,6599.3
2016011231,31,1/12/2016,31.1,6174.6
2016011232,32,1/12/2016,31.1,6174.6
2016011233,33,1/12/2016,39,5907.8
2016011234,34,1/12/2016,39,5907.8
2016011235,35,1/12/2016,69.58,6046.2
2016011236,36,1/12/2016,69.58,6046.2
2016011237,37,1/12/2016,49.77,5995.2
2016011238,38,1/12/2016,49.77,5995.2
2016011239,39,1/12/2016,40.08,6697.5
2016011240,40,1/12/2016,40.08,6697.5
2016011241,41,1/12/2016,38,6293.8
2016011242,42,1/12/2016,38,6293.8
2016011243,43,1/12/2016,36.02,6103.8
2016011244,44,1/12/2016,36.02,6103.8
2016011245,45,1/12/2016,29.83,5270.3
2016011246,46,1/12/2016,29.83,5270.3
2016011347,47,1/13/2016,29.44,5535
2016011348,48,1/13/2016,29.44,5535
2016011301,1,1/13/2016,29.8,5288.2
2016011302,2,1/13/2016,29.8,5288.2
2016011303,3,1/13/2016,29.73,5006.5
2016011304,4,1/13/2016,29.73,5006.5
2016011305,5,1/13/2016,29.32,4971.6
2016011306,6,1/13/2016,29.32,4971.6
2016011307,7,1/13/2016,25.27,5076
2016011308,8,1/13/2016,25.27,5076
2016011309,9,1/13/2016,17.05,5099.1
2016011310,10,1/13/2016,17.05,5099.1
2016011311,11,1/13/2016,29.28,5534.5
2016011312,12,1/13/2016,29.28,5534.5
2016011313,13,1/13/2016,37.43,5961.6
2016011314,14,1/13/2016,37.43,5961.6
2016011315,15,1/13/2016,34.48,6211.8
2016011316,16,1/13/2016,34.48,6211.8
2016011317,17,1/13/2016,34.73,6300.6
2016011318,18,1/13/2016,34.73,6300.6
2016011319,19,1/13/2016,34.31,6332.1
2016011320,20,1/13/2016,34.31,6332.1
2016011321,21,1/13/2016,34.71,6321.4
2016011322,22,1/13/2016,34.71,6321.4
2016011323,23,1/13/2016,35.28,5986.6
2016011324,24,1/13/2016,35.28,5986.6
2016011325,25,1/13/2016,35.52,5979.7
2016011326,26,1/13/2016,35.52,5979.7
2016011327,27,1/13/2016,35.97,5890.5
2016011328,28,1/13/2016,35.97,5890.5
2016011329,29,1/13/2016,35.93,5559.3
2016011330,30,1/13/2016,35.93,5559.3
2016011331,31,1/13/2016,32.95,6073.9
2016011332,32,1/13/2016,32.95,6073.9
2016011333,33,1/13/2016,54.91,5239.8
2016011334,34,1/13/2016,54.91,5239.8
2016011335,35,1/13/2016,85.01,5392.9
