,quantity,settlementDate,settlementPeriod
2016011538,51870,2016-01-15,38
2016011537,52258,2016-01-15,37
2016011536,52342,2016-01-15,36
2016011535,52382,2016-01-15,35
2016011534,51683,2016-01-15,34
2016011533,51036,2016-01-15,33
2016011532,50179,2016-01-15,32
2016011531,49613,2016-01-15,31
2016011530,49294,2016-01-15,30
2016011529,49179,2016-01-15,29
2016011528,49403,2016-01-15,28
2016011527,49556,2016-01-15,27
2016011526,49700,2016-01-15,26
2016011525,49618,2016-01-15,25
2016011524,49564,2016-01-15,24
2016011523,49331,2016-01-15,23
2016011522,49089,2016-01-15,22
2016011521,48795,2016-01-15,21
2016011520,48488,2016-01-15,20
2016011519,48247,2016-01-15,19
2016011518,47934,2016-01-15,18
2016011517,47611,2016-01-15,17
2016011516,46567,2016-01-15,16
2016011515,44892,2016-01-15,15
2016011514,40245,2016-01-15,14
2016011513,35720,2016-01-15,13
2016011512,33127,2016-01-15,12
2016011511,32275,2016-01-15,11
2016011510,32179,2016-01-15,10
2016011509,32200,2016-01-15,9
2016011508,32235,2016-01-15,8
2016011507,32286,2016-01-15,7
2016011506,32506,2016-01-15,6
2016011505,32548,2016-01-15,5
2016011504,32669,2016-01-15,4
2016011503,32639,2016-01-15,3
2016011502,32619,2016-01-15,2
2016011501,32750,2016-01-15,1
2016011648,33193,2016-01-16,48
2016011647,36733,2016-01-16,47
2016011646,39479,2016-01-16,46
2016011645,40261,2016-01-16,45
2016011644,40606,2016-01-16,44
2016011643,42272,2016-01-16,43
2016011642,43971,2016-01-16,42
2016011641,44758,2016-01-16,41
2016011640,45824,2016-01-16,40
2016011639,47060,2016-01-16,39
2016011638,48316,2016-01-16,38
2016011637,48661,2016-01-16,37
2016011636,48779,2016-01-16,36
2016011635,48856,2016-01-16,35
2016011634,48156,2016-01-16,34
2016011633,47197,2016-01-16,33
2016011632,46050,2016-01-16,32
2016011631,44892,2016-01-16,31
2016011630,44041,2016-01-16,30
2016011629,43898,2016-01-16,29
2016011628,44170,2016-01-16,28
2016011627,44302,2016-01-16,27
2016011626,44582,2016-01-16,26
2016011625,44354,2016-01-16,25
2016011624,44315,2016-01-16,24
2016011623,44069,2016-01-16,23
2016011622,43690,2016-01-16,22
2016011621,43361,2016-01-16,21
2016011620,42912,2016-01-16,20
2016011619,42032,2016-01-16,19
2016011618,41015,2016-01-16,18
2016011617,39818,2016-01-16,17
2016011616,37653,2016-01-16,16
2016011615,36664,2016-01-16,15
2016011614,35035,2016-01-16,14
2016011613,32445,2016-01-16,13
2016011612,31101,2016-01-16,12
2016011611,30798,2016-01-16,11
2016011610,30730,2016-01-16,10
2016011609,30899,2016-01-16,9
2016011608,31062,2016-01-16,8
2016011607,31313,2016-01-16,7
2016011606,31814,2016-01-16,6
2016011605,31842,2016-01-16,5
2016011604,32227,2016-01-16,4
2016011603,32704,2016-01-16,3
2016011602,32748,2016-01-16,2
2016011601,32764,2016-01-16,1
2016011748,35198,2016-01-17,48
2016011747,37695,2016-01-17,47
2016011746,41715,2016-01-17,46
2016011745,43017,2016-01-17,45
2016011744,44279,2016-01-17,44
2016011743,44735,2016-01-17,43
2016011742,45224,2016-01-17,42
2016011741,45669,2016-01-17,41
2016011740,47210,2016-01-17,40
2016011739,48412,2016-01-17,39
2016011738,49553,2016-01-17,38
2016011737,49698,2016-01-17,37
2016011736,49646,2016-01-17,36
2016011735,49489,2016-01-17,35
2016011734,48577,2016-01-17,34
2016011733,47588,2016-01-17,33
2016011732,46261,2016-01-17,32
2016011731,45221,2016-01-17,31
2016011730,44305,2016-01-17,30
2016011729,44126,2016-01-17,29
2016011728,44323,2016-01-17,28
2016011727,44400,2016-01-17,27
2016011726,44480,2016-01-17,26
2016011725,44200,2016-01-17,25
2016011724,44064,2016-01-17,24
2016011723,43726,2016-01-17,23
2016011722,43374,2016-01-17,22
2016011721,42718,2016-01-17,21
2016011720,41688,2016-01-17,20
2016011719,40457,2016-01-17,19
2016011718,38396,2016-01-17,18
2016011717,37411,2016-01-17,17
2016011716,36153,2016-01-17,16
2016011715,35212,2016-01-17,15
2016011714,33167,2016-01-17,14
2016011713,30655,2016-01-17,13
2016011712,30087,2016-01-17,12
2016011711,29877,2016-01-17,11
2016011710,29767,2016-01-17,10
2016011709,29728,2016-01-17,9
2016011708,30112,2016-01-17,8
2016011707,30306,2016-01-17,7
2016011706,30458,2016-01-17,6
2016011705,30514,2016-01-17,5
2016011704,30690,2016-01-17,4
2016011703,31092,2016-01-17,3
2016011702,31369,2016-01-17,2
2016011701,31442,2016-01-17,1
2016011848,31086,2016-01-18,48
2016011847,34549,2016-01-18,47
2016011846,39337,2016-01-18,46
2016011845,41532,2016-01-18,45
2016011844,43144,2016-01-18,44
2016011843,44884,2016-01-18,43
2016011842,46859,2016-01-18,42
