,drm2HourForecast,lolp1HourForecast,settlementDate,settlementPeriod
2016010903,18871.2010000,0.000000000,2016-01-09,3
2016010904,19411.2910000,0.000000000,2016-01-09,4
2016010905,20364.2320000,0.000000000,2016-01-09,5
2016010906,20776.3100000,0.000000000,2016-01-09,6
2016010907,20667.4200000,0.000000000,2016-01-09,7
2016010908,21349.9800000,0.000000000,2016-01-09,8
2016010909,21822.4430000,0.000000000,2016-01-09,9
2016010910,22101.2270000,0.000000000,2016-01-09,10
2016010911,21764.7030000,0.000000000,2016-01-09,11
2016010912,21512.9200000,0.000000000,2016-01-09,12
2016010913,21434.3600000,0.000000000,2016-01-09,13
2016010914,20260.8140000,0.000000000,2016-01-09,14
2016010915,20193.0060000,0.000000000,2016-01-09,15
2016010916,18475.7810000,0.000000000,2016-01-09,16
2016010917,17798.1820000,0.000000000,2016-01-09,17
2016010918,15791.0690000,0.000000000,2016-01-09,18
2016010919,13453.5205000,0.000000000,2016-01-09,19
2016010920,11703.5590000,0.000000000,2016-01-09,20
2016010921,10947.3440000,0.000000000,2016-01-09,21
2016010922,10560.6350000,0.000000000,2016-01-09,22
2016010923,10188.6650000,0.000000000,2016-01-09,23
2016010924,9338.5350000,0.000000000,2016-01-09,24
2016010925,8833.1380000,0.000000000,2016-01-09,25
2016010926,8668.7380000,0.000000000,2016-01-09,26
2016010927,8738.6500000,0.000000000,2016-01-09,27
2016010928,8619.0320000,0.000000000,2016-01-09,28
2016010929,9362.8280000,0.000000000,2016-01-09,29
2016010930,10801.5810000,0.000000000,2016-01-09,30
2016010931,12026.3600000,0.000000000,2016-01-09,31
2016010932,13475.1740000,0.000000000,2016-01-09,32
2016010933,13647.5220000,0.000000000,2016-01-09,33
2016010934,12217.7800000,0.000000000,2016-01-09,34
2016010935,9089.6630000,0.000000000,2016-01-09,35
2016010936,7034.4530000,0.000000000,2016-01-09,36
2016010937,6455.2373000,0.000000000,2016-01-09,37
2016010938,6864.2725000,0.000000000,2016-01-09,38
2016010939,7557.2886000,0.000000000,2016-01-09,39
2016010940,8171.4004000,0.000000000,2016-01-09,40
2016010941,8549.0800000,0.000000000,2016-01-09,41
2016010942,9730.8220000,0.000000000,2016-01-09,42
2016010943,9190.5120000,0.000000000,2016-01-09,43
2016010944,10743.6780000,0.000000000,2016-01-09,44
2016010945,11999.7080000,0.000000000,2016-01-09,45
2016010946,14211.4910000,0.000000000,2016-01-09,46
2016010947,15557.3990000,0.000000000,2016-01-09,47
2016010948,17705.8500000,0.000000000,2016-01-09,48
2016011001,19053.4820000,0.000000000,2016-01-10,1
2016011002,18407.8610000,0.000000000,2016-01-10,2
2016011003,18685.0880000,0.000000000,2016-01-10,3
2016011004,19206.8980000,0.000000000,2016-01-10,4
2016011005,20186.2340000,0.000000000,2016-01-10,5
2016011006,22613.5250000,0.000000000,2016-01-10,6
2016011007,22787.4750000,0.000000000,2016-01-10,7
2016011008,22896.6050000,0.000000000,2016-01-10,8
2016011009,22658.6230000,0.000000000,2016-01-10,9
2016011010,23150.6270000,0.000000000,2016-01-10,10
2016011011,23368.0940000,0.000000000,2016-01-10,11
2016011012,22996.7380000,0.000000000,2016-01-10,12
2016011013,23468.6100000,0.000000000,2016-01-10,13
2016011014,22454.5230000,0.000000000,2016-01-10,14
2016011015,20794.3200000,0.000000000,2016-01-10,15
2016011016,19901.0300000,0.000000000,2016-01-10,16
2016011017,18717.8440000,0.000000000,2016-01-10,17
2016011018,17894.6290000,0.000000000,2016-01-10,18
2016011019,14615.7180000,0.000000000,2016-01-10,19
2016011020,13187.8020000,0.000000000,2016-01-10,20
2016011021,12114.4540000,0.000000000,2016-01-10,21
2016011022,11430.6010000,0.000000000,2016-01-10,22
2016011023,10874.4030000,0.000000000,2016-01-10,23
2016011024,10387.8840000,0.000000000,2016-01-10,24
2016011025,10366.7070000,0.000000000,2016-01-10,25
2016011026,9625.3360000,0.000000000,2016-01-10,26
2016011027,9920.2530000,0.000000000,2016-01-10,27
2016011028,10662.5690000,0.000000000,2016-01-10,28
2016011029,10844.9900000,0.000000000,2016-01-10,29
2016011030,11422.6900000,0.000000000,2016-01-10,30
2016011031,13894.2710000,0.000000000,2016-01-10,31
2016011032,14305.2820000,0.000000000,2016-01-10,32
2016011033,13002.3970000,0.000000000,2016-01-10,33
2016011034,11810.6560000,0.000000000,2016-01-10,34
2016011035,8402.5210000,0.000000000,2016-01-10,35
2016011036,5963.2670000,0.000000000,2016-01-10,36
2016011037,5122.9185000,0.000000000,2016-01-10,37
2016011038,5870.0474000,0.000000000,2016-01-10,38
2016011039,7730.2983000,0.000000000,2016-01-10,39
2016011040,7173.6710000,0.000000000,2016-01-10,40
2016011041,8926.4220000,0.000000000,2016-01-10,41
2016011042,7897.6520000,0.000000000,2016-01-10,42
2016011043,9083.4100000,0.000000000,2016-01-10,43
2016011044,9308.7860000,0.000000000,2016-01-10,44
2016011045,11488.2370000,0.000000000,2016-01-10,45
2016011046,13517.6690000,0.000000000,2016-01-10,46
2016011047,16608.4840000,0.000000000,2016-01-10,47
2016011048,20087.0860000,0.000000000,2016-01-10,48
2016011101,21004.7090000,0.000000000,2016-01-11,1
2016011102,21161.6020000,0.000000000,2016-01-11,2
2016011103,21198.1930000,0.000000000,2016-01-11,3
2016011104,21376.5120000,0.000000000,2016-01-11,4
2016011105,23390.2520000,0.000000000,2016-01-11,5
2016011106,23699.7660000,0.000000000,2016-01-11,6
2016011107,23503.0470000,0.000000000,2016-01-11,7
2016011108,24426.6720000,0.000000000,2016-01-11,8
2016011109,24203.1210000,0.000000000,2016-01-11,9
2016011110,24469.1900000,0.000000000,2016-01-11,10
2016011111,24998.8480000,0.000000000,2016-01-11,11
2016011112,24804.8670000,0.000000000,2016-01-11,12
2016011113,23464.0180000,0.000000000,2016-01-11,13
2016011114,20881.9770000,0.000000000,2016-01-11,14
2016011115,17468.4160000,0.000000000,2016-01-11,15
2016011116,13404.0020000,0.000000000,2016-01-11,16
2016011117,10477.4400000,0.000000000,2016-01-11,17
2016011118,9433.2760000,0.000000000,2016-01-11,18
2016011119,8973.4260000,0.000000000,2016-01-11,19
2016011120,7988.9395000,0.000000000,2016-01-11,20
2016011121,6448.5186000,0.000000000,2016-01-11,21
2016011122,6442.8486000,0.000000000,2016-01-11,22
2016011123,6697.6367000,0.000000000,2016-01-11,23
2016011124,6296.4980000,0.000000000,2016-01-11,24
2016011125,6542.8690000,0.000000000,2016-01-11,25
2016011126,6584.7150000,0.000000000,2016-01-11,26
2016011127,6610.3060000,0.000000000,2016-01-11,27
2016011128,6336.9946000,0.000000000,2016-01-11,28
2016011129,6241.0117000,0.000000000,2016-01-11,29
2016011130,7492.7840000,0.000000000,2016-01-11,30
2016011131,7464.9575000,0.000000000,2016-01-11,31
2016011132,7818.3066000,0.000000000,2016-01-11,32
