,TSDF,settlementDate,settlementPeriod
2016011648,32156,1/16/2016,48
2016011701,32367,1/17/2016,1
2016011702,32834,1/17/2016,2
2016011703,32990,1/17/2016,3
2016011704,32562,1/17/2016,4
2016011705,32350,1/17/2016,5
2016011706,32418,1/17/2016,6
2016011707,32204,1/17/2016,7
2016011708,31508,1/17/2016,8
2016011709,30916,1/17/2016,9
2016011710,30551,1/17/2016,10
2016011711,30460,1/17/2016,11
2016011712,30568,1/17/2016,12
2016011713,30970,1/17/2016,13
2016011714,31446,1/17/2016,14
2016011715,31505,1/17/2016,15
2016011716,31338,1/17/2016,16
2016011717,32840,1/17/2016,17
2016011718,34900,1/17/2016,18
2016011719,36877,1/17/2016,19
2016011720,38372,1/17/2016,20
2016011721,39509,1/17/2016,21
2016011722,40347,1/17/2016,22
2016011723,40878,1/17/2016,23
2016011724,41325,1/17/2016,24
2016011725,41777,1/17/2016,25
2016011726,42009,1/17/2016,26
2016011727,41810,1/17/2016,27
2016011728,41418,1/17/2016,28
2016011729,41542,1/17/2016,29
2016011730,41602,1/17/2016,30
2016011731,41931,1/17/2016,31
2016011732,42564,1/17/2016,32
2016011733,44086,1/17/2016,33
2016011734,46886,1/17/2016,34
2016011735,48898,1/17/2016,35
2016011736,48949,1/17/2016,36
2016011737,48182,1/17/2016,37
2016011738,46891,1/17/2016,38
2016011739,45496,1/17/2016,39
2016011740,44031,1/17/2016,40
2016011741,42842,1/17/2016,41
2016011742,41100,1/17/2016,42
2016011743,40043,1/17/2016,43
2016011744,38363,1/17/2016,44
2016011745,36890,1/17/2016,45
2016011746,35055,1/17/2016,46
2016011747,33345,1/17/2016,47
2016011748,32627,1/17/2016,48
2016011801,32863,1/18/2016,1
