,ITSDO,settlementDate,settlementPeriod
2016011225,43971,2016-01-12,25
2016011226,43959,2016-01-12,26
2016011227,44039,2016-01-12,27
2016011228,43976,2016-01-12,28
2016011229,44207,2016-01-12,29
2016011230,43920,2016-01-12,30
2016011231,43970,2016-01-12,31
2016011232,45288,2016-01-12,32
2016011233,47074,2016-01-12,33
2016011234,49179,2016-01-12,34
2016011235,49548,2016-01-12,35
2016011236,49305,2016-01-12,36
2016011237,49442,2016-01-12,37
2016011238,49218,2016-01-12,38
2016011239,48173,2016-01-12,39
2016011240,46842,2016-01-12,40
2016011241,45381,2016-01-12,41
2016011242,43409,2016-01-12,42
2016011243,41241,2016-01-12,43
2016011244,38685,2016-01-12,44
2016011245,36094,2016-01-12,45
2016011246,33907,2016-01-12,46
2016011247,31495,2016-01-12,47
2016011248,30279,2016-01-12,48
2016011301,30551,2016-01-13,1
2016011302,31519,2016-01-13,2
2016011303,31483,2016-01-13,3
2016011304,31078,2016-01-13,4
2016011305,30684,2016-01-13,5
2016011306,30761,2016-01-13,6
2016011307,30725,2016-01-13,7
2016011308,30176,2016-01-13,8
2016011309,29817,2016-01-13,9
2016011310,29773,2016-01-13,10
2016011311,30281,2016-01-13,11
2016011312,31529,2016-01-13,12
2016011313,34025,2016-01-13,13
2016011314,37013,2016-01-13,14
2016011315,41355,2016-01-13,15
2016011316,43932,2016-01-13,16
2016011317,44758,2016-01-13,17
2016011318,44508,2016-01-13,18
2016011319,44963,2016-01-13,19
2016011320,44974,2016-01-13,20
2016011321,44738,2016-01-13,21
2016011322,44514,2016-01-13,22
2016011323,44337,2016-01-13,23
2016011324,44274,2016-01-13,24
2016011325,44410,2016-01-13,25
2016011326,44318,2016-01-13,26
2016011327,44255,2016-01-13,27
2016011328,44300,2016-01-13,28
2016011329,44696,2016-01-13,29
2016011330,44992,2016-01-13,30
2016011331,45423,2016-01-13,31
2016011332,46569,2016-01-13,32
2016011333,48279,2016-01-13,33
2016011334,50013,2016-01-13,34
2016011335,50410,2016-01-13,35
2016011336,50071,2016-01-13,36
2016011337,49706,2016-01-13,37
2016011338,49930,2016-01-13,38
2016011339,49312,2016-01-13,39
2016011340,48055,2016-01-13,40
2016011341,46856,2016-01-13,41
2016011342,44890,2016-01-13,42
2016011343,42548,2016-01-13,43
2016011344,40056,2016-01-13,44
2016011345,37902,2016-01-13,45
2016011346,35385,2016-01-13,46
2016011347,32644,2016-01-13,47
2016011348,31254,2016-01-13,48
2016011401,31295,2016-01-14,1
2016011402,31502,2016-01-14,2
2016011403,31613,2016-01-14,3
2016011404,31692,2016-01-14,4
2016011405,31429,2016-01-14,5
2016011406,31334,2016-01-14,6
2016011407,30832,2016-01-14,7
2016011408,30393,2016-01-14,8
2016011409,30025,2016-01-14,9
2016011410,30020,2016-01-14,10
2016011411,30437,2016-01-14,11
2016011412,30757,2016-01-14,12
2016011413,33272,2016-01-14,13
2016011414,36704,2016-01-14,14
2016011415,40977,2016-01-14,15
2016011416,43392,2016-01-14,16
2016011417,44216,2016-01-14,17
2016011418,43892,2016-01-14,18
2016011419,44570,2016-01-14,19
2016011420,44745,2016-01-14,20
2016011421,44633,2016-01-14,21
2016011422,44607,2016-01-14,22
2016011423,44572,2016-01-14,23
2016011424,44556,2016-01-14,24
2016011425,44525,2016-01-14,25
2016011426,44307,2016-01-14,26
2016011427,44031,2016-01-14,27
2016011428,43805,2016-01-14,28
2016011429,43631,2016-01-14,29
2016011430,43683,2016-01-14,30
2016011431,43920,2016-01-14,31
2016011432,45215,2016-01-14,32
2016011433,46598,2016-01-14,33
2016011434,48420,2016-01-14,34
2016011435,49657,2016-01-14,35
2016011436,49633,2016-01-14,36
2016011437,49877,2016-01-14,37
2016011438,49610,2016-01-14,38
2016011439,49208,2016-01-14,39
2016011440,47854,2016-01-14,40
2016011441,46435,2016-01-14,41
2016011442,44727,2016-01-14,42
2016011443,42522,2016-01-14,43
2016011444,39836,2016-01-14,44
2016011445,37327,2016-01-14,45
2016011446,35159,2016-01-14,46
2016011447,32746,2016-01-14,47
2016011448,31577,2016-01-14,48
2016011501,32182,2016-01-15,1
2016011502,32435,2016-01-15,2
2016011503,32699,2016-01-15,3
2016011504,32156,2016-01-15,4
2016011505,31652,2016-01-15,5
2016011506,31629,2016-01-15,6
2016011507,31271,2016-01-15,7
2016011508,31045,2016-01-15,8
2016011509,30756,2016-01-15,9
2016011510,30724,2016-01-15,10
2016011511,31056,2016-01-15,11
2016011512,31899,2016-01-15,12
2016011513,34020,2016-01-15,13
2016011514,37318,2016-01-15,14
2016011515,41567,2016-01-15,15
2016011516,44120,2016-01-15,16
2016011517,44953,2016-01-15,17
2016011518,44757,2016-01-15,18
2016011519,45261,2016-01-15,19
2016011520,45039,2016-01-15,20
2016011521,44500,2016-01-15,21
2016011522,44113,2016-01-15,22
2016011523,43779,2016-01-15,23
2016011524,43312,2016-01-15,24
2016011525,43030,2016-01-15,25
2016011526,42608,2016-01-15,26
2016011527,42443,2016-01-15,27
2016011528,42342,2016-01-15,28
2016011529,42529,2016-01-15,29
2016011530,42772,2016-01-15,30
2016011531,43213,2016-01-15,31
2016011532,44488,2016-01-15,32
2016011533,46297,2016-01-15,33
2016011534,48700,2016-01-15,34
2016011535,49994,2016-01-15,35
2016011536,49950,2016-01-15,36
2016011537,49531,2016-01-15,37
2016011538,49119,2016-01-15,38
2016011539,48282,2016-01-15,39
2016011540,46797,2016-01-15,40
2016011541,45380,2016-01-15,41
2016011542,43751,2016-01-15,42
2016011543,41780,2016-01-15,43
2016011544,39684,2016-01-15,44
2016011545,37602,2016-01-15,45
2016011546,36037,2016-01-15,46
2016011547,33831,2016-01-15,47
2016011548,32502,2016-01-15,48
2016011601,32323,2016-01-16,1
2016011602,32781,2016-01-16,2
2016011603,33104,2016-01-16,3
2016011604,32507,2016-01-16,4
2016011605,32436,2016-01-16,5
2016011606,32360,2016-01-16,6
2016011607,31945,2016-01-16,7
2016011608,31527,2016-01-16,8
2016011609,31316,2016-01-16,9
2016011610,31003,2016-01-16,10
2016011611,31102,2016-01-16,11
2016011612,31395,2016-01-16,12
2016011613,31782,2016-01-16,13
2016011614,31980,2016-01-16,14
2016011615,33643,2016-01-16,15
2016011616,35026,2016-01-16,16
2016011617,37040,2016-01-16,17
2016011618,38909,2016-01-16,18
2016011619,40346,2016-01-16,19
2016011620,40875,2016-01-16,20
2016011621,41329,2016-01-16,21
2016011622,41489,2016-01-16,22
2016011623,41595,2016-01-16,23
2016011624,41750,2016-01-16,24
2016011625,41700,2016-01-16,25
2016011626,41473,2016-01-16,26
2016011627,41132,2016-01-16,27
2016011628,40819,2016-01-16,28
2016011629,40930,2016-01-16,29
2016011630,41082,2016-01-16,30
2016011631,41554,2016-01-16,31
2016011632,42198,2016-01-16,32
2016011633,43985,2016-01-16,33
2016011634,46821,2016-01-16,34
2016011635,48789,2016-01-16,35
2016011636,49091,2016-01-16,36
2016011637,48496,2016-01-16,37
2016011638,47445,2016-01-16,38
2016011639,45994,2016-01-16,39
2016011640,44141,2016-01-16,40
2016011641,42803,2016-01-16,41
2016011642,41187,2016-01-16,42
2016011643,39669,2016-01-16,43
2016011644,37959,2016-01-16,44
2016011645,36322,2016-01-16,45
2016011646,35198,2016-01-16,46
2016011647,33559,2016-01-16,47
2016011648,32529,2016-01-16,48
2016011701,32358,2016-01-17,1
2016011702,32838,2016-01-17,2
2016011703,32857,2016-01-17,3
2016011704,32451,2016-01-17,4
2016011705,32319,2016-01-17,5
2016011706,32212,2016-01-17,6
2016011707,31987,2016-01-17,7
2016011708,31381,2016-01-17,8
2016011709,30784,2016-01-17,9
2016011710,30446,2016-01-17,10
2016011711,30387,2016-01-17,11
2016011712,30500,2016-01-17,12
2016011713,30890,2016-01-17,13
2016011714,31308,2016-01-17,14
2016011715,31339,2016-01-17,15
2016011716,31278,2016-01-17,16
2016011717,32669,2016-01-17,17
2016011718,34408,2016-01-17,18
2016011719,36747,2016-01-17,19
2016011720,38381,2016-01-17,20
2016011721,39861,2016-01-17,21
2016011722,40669,2016-01-17,22
2016011723,41302,2016-01-17,23
2016011724,41782,2016-01-17,24
2016011725,42251,2016-01-17,25
2016011726,42234,2016-01-17,26
2016011727,42066,2016-01-17,27
2016011728,41900,2016-01-17,28
2016011729,42033,2016-01-17,29
2016011730,42157,2016-01-17,30
2016011731,42691,2016-01-17,31
2016011732,43304,2016-01-17,32
2016011733,45044,2016-01-17,33
2016011734,47511,2016-01-17,34
2016011735,48414,2016-01-17,35
2016011736,48200,2016-01-17,36
2016011737,47277,2016-01-17,37
2016011738,46153,2016-01-17,38
2016011739,44773,2016-01-17,39
2016011740,43413,2016-01-17,40
2016011741,42041,2016-01-17,41
2016011742,40327,2016-01-17,42
2016011743,38682,2016-01-17,43
2016011744,36948,2016-01-17,44
2016011745,34891,2016-01-17,45
2016011746,32890,2016-01-17,46
2016011747,31229,2016-01-17,47
2016011748,30402,2016-01-17,48
2016011801,30227,2016-01-18,1
