,FossilGas,APXPrice,Total_RENE,TSDF
2016010930,14401.0,32.95,6677.323,37617.0
2016010931,14577.0,32.51,6544.486000000001,37917.0
2016010932,14141.0,32.51,6428.486000000001,38369.0
2016010933,14511.0,44.01,6291.37,39806.0
2016010934,15369.0,44.01,6222.37,42735.0
2016010935,16134.0,68.23,6111.127,44867.0
2016010936,16104.0,68.23,6100.127,45249.0
2016010937,15828.0,52.0,6062.5650000000005,44708.0
2016010938,15625.0,52.0,6062.5650000000005,43566.0
2016010939,15281.0,40.6,6002.237,41755.0
2016010940,14609.0,40.6,6002.237,39858.0
2016010941,13735.0,36.13,5919.588,38370.0
2016010942,12241.0,36.13,5919.588,36768.0
2016010943,11532.0,36.86,5845.448,35619.0
2016010944,10423.0,36.86,5845.448,34133.0
2016010945,9285.0,35.01,6050.137999999999,32990.0
2016010946,8332.0,35.01,6050.137999999999,32059.0
2016010947,7385.0,41.03,6076.665999999999,30649.0
2016010948,6761.0,41.03,6076.665999999999,29740.0
2016011001,6176.0,40.06,4975.725,27574.0
2016011002,6246.0,40.06,4975.725,27627.0
2016011003,6136.0,42.06,5009.192999999999,27307.0
2016011004,5757.0,42.06,5009.192999999999,27039.0
2016011005,5674.0,34.66,5164.1990000000005,26765.0
2016011006,5660.0,34.66,5164.1990000000005,26928.0
2016011007,5771.0,28.47,5425.267,26569.0
2016011008,5607.0,28.47,5425.267,26423.0
2016011009,5549.0,23.04,5542.517,25883.0
2016011010,5462.0,23.04,5542.517,25615.0
2016011011,5440.0,23.99,5664.174999999999,25892.0
2016011012,5477.0,23.99,5664.174999999999,26207.0
2016011013,5778.0,22.74,5797.487,27028.0
2016011014,5806.0,22.74,5797.487,27371.0
2016011015,5839.0,27.95,5894.450000000001,27434.0
2016011016,5706.0,27.95,5894.450000000001,27877.0
2016011017,6094.0,27.52,6102.151,29348.0
2016011018,6913.0,27.52,6174.151,31200.0
2016011019,8276.0,30.89,6499.518,33052.0
2016011020,9487.0,30.89,6690.518,34549.0
2016011021,10401.0,32.94,7018.639999999999,35700.0
2016011022,11132.0,32.94,7249.639999999999,35068.0
2016011023,11606.0,38.6,7581.393,35666.0
2016011024,12520.0,38.6,7768.393,36040.0
2016011025,12663.0,40.06,7974.607,36469.0
2016011026,12874.0,40.06,8037.607,36218.0
2016011027,12927.0,39.06,7931.294,36015.0
2016011028,12609.0,39.06,7844.294,35655.0
2016011029,12534.0,33.07,7595.947,35593.0
2016011030,12358.0,33.07,7410.947,35506.0
2016011031,12879.0,31.32,7055.49,36004.0
2016011032,13243.0,31.32,6791.49,36892.0
2016011033,14568.0,40.59,6546.718,38348.0
2016011034,16388.0,40.59,6365.718,41699.0
2016011035,17241.0,69.6,6287.219,44629.0
